id,"area","created_at","updated_at"
1,"北海道",NULL,NULL
2,"青森県",NULL,NULL
3,"岩手県",NULL,NULL
4,"宮城県",NULL,NULL
5,"秋田県",NULL,NULL
6,"山形県",NULL,NULL
7,"福島県",NULL,NULL
8,"茨城県",NULL,NULL
9,"栃木県",NULL,NULL
10,"群馬県",NULL,NULL
11,"埼玉県",NULL,NULL
12,"千葉県",NULL,NULL
13,"東京都",NULL,NULL
14,"神奈川県",NULL,NULL
15,"新潟県",NULL,NULL
16,"富山県",NULL,NULL
17,"石川県",NULL,NULL
18,"福井県",NULL,NULL
19,"山梨県",NULL,NULL
20,"長野県",NULL,NULL
21,"岐阜県",NULL,NULL
22,"静岡県",NULL,NULL
23,"愛知県",NULL,NULL
24,"三重県",NULL,NULL
25,"滋賀県",NULL,NULL
26,"京都府",NULL,NULL
27,"大阪府",NULL,NULL
28,"兵庫県",NULL,NULL
29,"奈良県",NULL,NULL
30,"和歌山県",NULL,NULL
31,"鳥取県",NULL,NULL
32,"島根県",NULL,NULL
33,"岡山県",NULL,NULL
34,"広島県",NULL,NULL
35,"山口県",NULL,NULL
36,"徳島県",NULL,NULL
37,"香川県",NULL,NULL
38,"愛媛県",NULL,NULL
39,"高知県",NULL,NULL
40,"福岡県",NULL,NULL
41,"長崎県",NULL,NULL
42,"佐賀県",NULL,NULL
43,"大分県",NULL,NULL
44,"熊本県",NULL,NULL
45,"宮崎県",NULL,NULL
46,"鹿児島県",NULL,NULL
47,"沖縄県",NULL,NULL
