id,"title","categori_1","categori_2","image","text","created_at","updated_at"
1,"ドローンってそもそも何？","ドローン基礎知識",NULL,"colom-image1-1.jpg","「どろーん、どろーん」と騒がれ始めて数年が経ちますが、そもそもドローンて何でしょうか？今回は「ドローンとは何？」ということについて考えてみます。",NULL,NULL
2,"ドローンはどんな歴史をたどってきたの？","ドローン基礎知識",NULL,"colom-image2-1.jpg","数年前から「ドローン」て急に耳にするようになりましたよね？
じゃあ、これって新しいテクノロジーなのか？、というとそうでもないんですね。",NULL,NULL
3,"ドローンで何ができるの？","ドローン基礎知識",NULL,"colom-image3-1.jpg","ドローンというと、イコール空撮のようなイメージがないでしょうか？",NULL,NULL
4,"知っておくべきドローンのメーカーってどこ？まずはDJI！","ドローン基礎知識",NULL,"colom-image4-1.jpg","クルマなら、トヨタ、フォルクス・ワーゲンなど世界的企業がすぐに思い浮かびますよね？",NULL,NULL
5,"ドローンメーカーってDJIだけなの？いえ、そんなことはありません","ドローン基礎知識",NULL,"colom-image5-1.jpg","ドローン世界シェアでナンバーワンのDJIについては、以前解説しました。",NULL,NULL
6,"世界のドローン市場規模はぐんぐん伸びてる","ドローン基礎知識",NULL,"colom-image6-1.jpg","ドローンの情報って、空撮とか機体の新製品の情報なんかがネットではバンバン出ていますが、数字で抑えることも重要ですよね。",NULL,NULL
7,"日本のドローン市場はどれくらい成長する？","ドローン基礎知識",NULL,"colom-image7-1.jpg","世界のドローン市場がどうなっているのかは、以前に説明しました。",NULL,NULL
8,"ドローンって危ないの？過去の事件・事故（国内編）","ドローン基礎知識",NULL,"colom-image8-1.jpg","今ではドローンがインフラの点検や測量、配送などの分野で有効活用が期待されるという認識が一般的に広まってきたと感じています",NULL,NULL
9,"ドローンって危ないの？過去の事件・事故（海外編）","ドローン基礎知識",NULL,"colom-image9-1.png","ドローンは世界中に広まっています。
国内のドローン事件や事故は、ニュースでよく見かけるかもしれませんが、海外ではどうなってるんでしょうか？",NULL,NULL
10,"ドローンの事故ってなんで起きるの？14の原因

","ドローン基礎知識",NULL,"colom-image10-1.jpg","以前にドローンの事故、事件についての解説をしました。",NULL,NULL
11,"ドローンで守るべき3つのルールとは？","ドローン基礎知識",NULL,"colom-image11-1.jpg","ドローンの機体は用意した。あとは、飛ばすだけ。ではありません！",NULL,NULL
12,"ドローンは本当に世の中に浸透していくの？4つの視点から分析","ドローン基礎知識",NULL,"colom-image12-1.jpg","ドローンの市場が今後順調に拡大していくだろう、という記事は以前に紹介しました。",NULL,NULL
13,"ドローンスクールに入学する人ってどんな人？","","ドローンスクールの基礎知識","colom-image13-1.jpg","ドローンスクールに入学する人ってどんな人達が多いのでしょうか。",NULL,NULL
14,"ドローンスクールの学費（授業料）について比較してみよう",NULL,"ドローンスクールの基礎知識","colom-image14-1.jpg","学校を選ぶ際の重要なポイントの一つに「学費」がありますよね。",NULL,NULL
15,"ドローンスクールの学費が異なる理由について",NULL,"ドローンスクールの基礎知識","colom-image15-1.jpg","前回のコラムでは、ドローン学校の学費について比較しましたが、今回は学費が学校ごとに異なる理由について、検証してみましょう。",NULL,NULL
